#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,Unnamed: 17
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,30,50,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,2,30,50,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,30,50,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,50,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,-40,1,80,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
No,0,0,0,0,0,0,No,No,0,0,0,0,0,0,0,0,
No,0,0,0,0,0,0,No,No,0,0,0,0,0,0,0,0,
No,0,0,0,0,0,0,No,No,0,0,0,0,0,0,0,0,
No,0,0,0,0,0,0,No,No,0,0,0,0,0,0,0,0,
No,0,0,0,0,0,0,No,No,0,0,0,0,0,0,0,0,
No,0,0,0,0,0,0,No,No,0,0,0,0,0,0,0,0,
No,0,0,0,0,0,0,No,No,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
